,,Andaman and Nicobar Islands,,Andhra Pradesh,,Arunachal Pradesh,,Assam,,Bihar,,Chandigarh,,Chhattisgarh,,Dadra & Nagar Haveli,,Delhi,,Goa,,Gujarat,,Haryana,,Himachal Pradesh,,Jammu and Kashmir,,Jharkhand,,Karnataka,,Kerala,,Ladakh,,Lakshwadeep,,Madhya Pradesh,,Maharashtra,,Manipur,,Meghalaya,,Mizoram,,Nagaland,,Odisha,,Puducherry,,Punjab,,Rajasthan,,Sikkim,,Tamil Nadu,,Telanagana,,Tripura,,Uttar Pradesh,,Uttarakhand,,West Bengal,,Mobile Vans,,Duplicates,,Total,,Changes,
,,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private
,TrueNat,1,0,42,0,3,0,0,2,34,0,0,0,1,2,0,0,2,2,4,0,9,0,2,1,4,0,0,0,25,0,10,0,8,4,0,0,3,0,56,2,14,3,2,0,4,0,1,0,11,0,5,0,0,1,15,0,0,0,1,0,0,3,0,1,0,0,92,4,4,0,18,1,0,0,-4,,367,26,26,6
,CBNAAT,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,3,0,0,2,5,1,0,0,0,2,0,1,0,2,7,1,6,0,0,0,0,0,0,5,10,0,0,0,1,0,0,0,0,0,2,1,0,2,2,0,0,0,0,1,6,4,1,0,0,0,5,1,0,1,5,0,0,2,-1,32,53,4,3
06/07/2020,RT-PCR,1,0,11,7,1,0,10,1,7,2,3,0,4,0,1,0,15,24,1,0,22,16,12,8,8,0,6,0,4,2,33,30,16,7,1,0,0,0,15,7,46,34,2,0,2,0,1,0,1,0,13,5,2,1,3,3,23,6,1,0,46,35,10,20,1,0,24,4,6,2,18,11,0,0,2,1,372,226,10,17
,TrueNat,1,0,47,0,3,0,2,3,33,0,0,1,1,2,0,0,3,2,4,0,9,0,3,1,3,0,0,1,25,0,9,0,9,5,0,0,3,0,55,2,17,3,4,0,9,0,1,0,12,0,6,1,0,1,15,0,0,1,1,0,3,4,0,1,0,0,92,6,4,0,18,1,0,0,-4,,388,35,21,9
,CBNAAT,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,4,0,0,2,5,1,0,0,0,2,0,1,0,2,7,2,7,0,0,0,0,0,0,5,11,0,0,0,1,0,0,0,0,0,1,1,0,2,4,0,0,0,0,1,7,4,2,0,0,0,6,1,0,1,5,0,0,2,-1,33,61,1,8
13/07/2020,RT-PCR,1,0,11,7,1,0,10,1,7,2,3,0,4,0,1,0,16,24,1,0,22,17,12,8,8,0,6,0,4,2,34,31,16,7,1,0,0,0,17,7,47,37,3,0,2,0,1,0,1,0,13,5,2,1,3,3,25,8,1,0,47,40,10,20,1,0,32,5,6,2,18,11,0,0,2,1,389,239,17,13
,TrueNat,1,0,47,0,5,0,2,4,36,1,0,1,3,2,0,0,3,2,4,0,9,1,3,1,9,0,16,2,25,0,8,1,9,5,0,0,3,0,56,2,18,4,4,1,9,0,1,0,12,0,12,1,0,1,15,0,0,1,1,0,5,6,0,1,0,0,86,9,12,0,19,1,0,0,-4,,429,47,41,12
,CBNAAT,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,6,0,0,2,5,1,0,0,0,2,0,1,0,2,7,2,9,0,0,0,0,0,0,5,11,0,0,0,1,0,0,0,0,0,1,1,0,2,4,0,0,0,0,1,7,6,2,0,0,0,6,1,0,1,5,0,0,2,-1,35,65,2,4
20/07/2020,RT-PCR,1,0,11,7,1,0,10,1,7,2,3,0,4,0,1,0,16,24,1,0,23,17,13,9,8,0,6,0,5,2,35,35,16,8,1,0,0,0,17,7,47,39,3,1,2,0,1,0,1,0,13,5,2,1,3,3,26,10,1,0,49,40,10,21,1,0,32,6,6,2,21,12,0,0,1,1,398,253,9,14
,TrueNat,1,0,49,0,9,0,2,4,36,1,0,1,3,2,0,0,3,3,5,0,9,1,2,1,14,0,16,2,25,0,7,1,9,9,0,0,3,0,56,2,20,5,4,0,9,0,1,0,12,0,27,1,0,1,15,0,0,1,1,0,8,7,0,1,0,0,86,14,12,0,17,2,0,0,-4,,457,59,28,12
